Epoch,Train Loss,Valid Loss
0,276.0195007324219,267.7568664550781
1,268.8305358886719,268.3179016113281
2,268.7748718261719,267.9014892578125
3,268.6800842285156,267.9922180175781
4,268.74151611328125,267.8978271484375
5,268.57574462890625,267.8776550292969
6,268.59423828125,267.8818359375
7,268.5226135253906,267.7977600097656
8,268.4440002441406,267.71429443359375
9,268.3429870605469,267.8333740234375
10,268.2751159667969,267.7688903808594
11,268.2332763671875,267.70245361328125
12,268.1493225097656,267.6355285644531
13,268.0788269042969,267.5679626464844
14,268.005615234375,267.4973449707031
15,267.9393615722656,267.4241943359375
16,267.86474609375,267.347412109375
17,267.77972412109375,267.26513671875
18,267.7066345214844,267.1803283691406
19,267.5907287597656,267.09136962890625
20,267.5051574707031,266.9992370605469
21,267.79736328125,266.89697265625
22,267.3218078613281,266.79766845703125
23,267.2200622558594,266.6922912597656
24,267.1317443847656,266.5784606933594
25,267.0086364746094,266.4574279785156
26,266.9149475097656,266.326904296875
27,266.7546081542969,266.186279296875
28,266.6114807128906,266.0357666015625
29,266.452880859375,265.8692932128906
30,266.3146667480469,265.68994140625
31,266.1725769042969,265.4957580566406
32,265.99566650390625,265.2885437011719
33,265.76446533203125,265.0672607421875
34,265.528076171875,264.8318176269531
35,265.3214416503906,264.6275939941406
36,265.1407470703125,264.4267578125
37,264.8895263671875,264.1051025390625
38,264.63531494140625,263.8993835449219
39,264.4713439941406,263.76483154296875
40,264.5340881347656,263.2360534667969
41,264.0845947265625,263.05291748046875
42,263.7686767578125,262.87274169921875
43,263.4214172363281,262.64666748046875
44,263.15374755859375,262.37274169921875
45,262.7681884765625,262.1441650390625
46,262.5555419921875,261.80322265625
47,262.1123046875,261.4531555175781
48,262.9029235839844,261.0655212402344
49,261.3640441894531,260.6670837402344
50,261.14593505859375,260.2644348144531
51,260.72564697265625,259.85894775390625
52,260.42828369140625,259.44158935546875
53,260.00238037109375,259.0060729980469
54,259.5325927734375,258.5520935058594
55,259.1300964355469,258.07427978515625
56,258.56640625,257.57867431640625
57,258.15826416015625,257.0548400878906
58,257.6177062988281,256.51171875
59,257.0845031738281,255.9433135986328
60,256.46929931640625,255.35032653808594
61,255.81195068359375,254.743408203125
62,255.2438507080078,254.09832763671875
63,254.5242156982422,253.42137145996094
64,253.9048309326172,252.70849609375
65,252.98448181152344,251.99014282226562
66,252.2858123779297,251.21212768554688
67,251.33377075195312,250.4031524658203
68,250.67391967773438,249.5279541015625
69,249.68687438964844,248.61627197265625
70,248.799560546875,247.65211486816406
71,247.7565460205078,246.61102294921875
72,246.677978515625,245.49464416503906
73,245.5179443359375,244.40029907226562
74,244.3029022216797,243.16275024414062
75,243.18896484375,241.81488037109375
76,241.6592559814453,240.39697265625
77,240.34776306152344,238.8818817138672
78,238.8799591064453,237.26734924316406
79,237.2840118408203,235.53517150878906
80,235.6351318359375,233.70599365234375
81,233.35910034179688,231.7601776123047
82,231.8188934326172,229.65293884277344
83,229.705322265625,227.4271240234375
84,227.0565643310547,225.03057861328125
85,224.69122314453125,222.4823455810547
86,222.69361877441406,219.69442749023438
87,219.06463623046875,216.65762329101562
88,216.08717346191406,213.43539428710938
89,213.01885986328125,210.0133819580078
90,209.85342407226562,206.258056640625
91,206.6836395263672,202.21163940429688
92,202.0621795654297,197.86619567871094
93,197.53955078125,193.1935272216797
94,193.02481079101562,188.16371154785156
95,188.12669372558594,182.8701171875
96,183.08627319335938,177.12060546875
97,178.7345428466797,170.86770629882812
98,171.25686645507812,164.45022583007812
99,166.5364532470703,157.54714965820312
